tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.707.1	nbisL1-mrna-15906	63.246982	58.580886	68.832265	85.393013	92.367085	98.144198
mRNA_S-ischiensis_contig1.708.1	nbisL1-mrna-15907	93.167672	92.104113	85.02492	83.453867	81.042499	72.620241
mRNA_S-ischiensis_contig1.709.1	nbisL1-mrna-3060	7.291395	7.402418	4.129429	13.925566	23.292469	22.616159
mRNA_S-ischiensis_contig1.710.1	nbisL1-mrna-15908	1.749969	1.477833	1.638779	1.693315	1.691683	1.73994
mRNA_S-ischiensis_contig1.711.1	nbisL1-mrna-15909	8.182702	8.092009	3.767654	9.17125	9.942247	12.648699
mRNA_S-ischiensis_contig1.712.1	nbisL1-mrna-15910	7.890854	7.93917	6.202331	7.087469	6.036029	6.597464
mRNA_S-ischiensis_contig1.713.1	nbisL1-mrna-15911	20.800321	19.846028	18.569244	21.1071	19.865025	16.193284
mRNA_S-ischiensis_contig1.714.1	nbisL1-mrna-3061	14.183073	13.383268	11.392973	13.911775	15.081866	14.149745
mRNA_S-ischiensis_contig1.715.1	nbisL1-mrna-7627	0	0	0	0	0	0
mRNA_S-ischiensis_contig1.716.1	nbisL1-mrna-15912	38.741645	34.629797	37.78422	44.224264	43.946872	44.290082
mRNA_S-ischiensis_contig1.717.1	nbisL1-mrna-7628	0.129532	0.090031	0.181511	0.155204	1.122769	0.289751
mRNA_S-ischiensis_contig1.718.1	nbisL1-mrna-15913	37.657537	31.833344	22.71797	35.751824	39.708725	26.504181
mRNA_S-ischiensis_contig1.719.1	nbisL1-mrna-15914	25.657936	28.596276	24.104399	30.130869	32.371394	28.39677
mRNA_S-ischiensis_contig1.720.1	nbisL1-mrna-3062	17.902056	16.036933	13.379112	17.974174	14.472713	11.495444
mRNA_S-ischiensis_contig1.721.1	nbisL1-mrna-15915	8.098768	5.823814	6.178553	7.439297	4.362381	5.793116
mRNA_S-ischiensis_contig1.722.1	nbisL1-mrna-15916	53.526391	57.82663	57.837144	73.798316	77.899106	87.430188
mRNA_S-ischiensis_contig1.723.1	nbisL1-mrna-15917	5.903814	6.885854	6.721129	7.507811	7.923679	6.57322
mRNA_S-ischiensis_contig1.724.1	nbisL1-mrna-15918	29.573517	27.119138	35.188631	31.540541	31.300485	33.994649
mRNA_S-ischiensis_contig1.725.1	nbisL1-mrna-15919	23.223248	22.683363	25.686222	22.891147	21.647112	26.958
mRNA_S-ischiensis_contig1.726.1	nbisL1-mrna-15920	6.389376	6.808831	7.999376	7.104008	7.595338	8.686555
mRNA_S-ischiensis_contig1.727.1	nbisL1-mrna-15921	25.288319	25.544641	28.47406	25.284303	24.332311	25.172959
mRNA_S-ischiensis_contig1.728.1	nbisL1-mrna-15922	40.090023	42.209772	41.441433	38.718425	38.743973	40.387703
mRNA_S-ischiensis_contig1.729.1	nbisL1-mrna-15923	37.212259	36.385696	38.796009	29.494077	25.701336	24.653718
mRNA_S-ischiensis_contig1.730.1	nbisL1-mrna-7629	132.081097	146.829452	111.587573	112.700334	109.500946	95.198709
mRNA_S-ischiensis_contig1.731.1	nbisL1-mrna-15924	106.164153	102.306068	86.079224	94.387823	110.622151	80.530249
mRNA_S-ischiensis_contig1.732.1	nbisL1-mrna-7630	45.369213	48.89209	40.646522	42.298256	48.080432	32.284463
mRNA_S-ischiensis_contig1.733.1	nbisL1-mrna-15925	5.668277	6.712075	9.028851	8.223699	9.899452	11.545655
