tx	gene_id	Scytosiphon_promiscuus_A_RNAseq_ScytoA	Scytosiphon_promiscuus_asm6_male_RNAseq_ScytoM_rep1	Scytosiphon_promiscuus_B_RNAseq_ScytoB	Scytosiphon_promiscuus_C_RNAseq_ScytoC	Scytosiphon_promiscuus_D_RNAseq_ScytoD	Scytosiphon_promiscuus_mrf5_female_RNAseq_ScytoF_rep1
mRNA_S-promiscuus_M_contig4.12148.1	nbisL1-mrna-11157	0	0	0	0	0	0
mRNA_S-promiscuus_M_contig4.12146.1	nbisL1-mrna-11158	0.264289	0	0	0.963655	0	0
mRNA_S-promiscuus_M_contig4.12145.1	nbisL1-mrna-11159	22.273944	24.587398	28.91748	25.235973	28.730588	25.551493
mRNA_S-promiscuus_M_contig4.12144.1	nbisL1-mrna-11160	21.932155	21.779149	16.79255	12.859235	15.309211	13.94295
mRNA_S-promiscuus_M_contig4.12143.1	nbisL1-mrna-11161	82.382209	52.170547	56.103779	66.118948	63.237869	73.670074
mRNA_S-promiscuus_M_contig4.12142.1	nbisL1-mrna-11162	1.490896	0.884928	0	2.040684	0.948394	1.113991
mRNA_S-promiscuus_M_contig4.12141.1	nbisL1-mrna-11163	8.531635	4.97292	21.591264	8.423078	28.602083	31.711103
mRNA_S-promiscuus_M_contig4.12140.1	nbisL1-mrna-11164	1.959074	3.165807	2.726252	0.596711	1.9255	4.863437
mRNA_S-promiscuus_M_contig4.12139.1	nbisL1-mrna-11165	17.158249	18.795477	20.787417	19.092418	20.806019	18.706204
mRNA_S-promiscuus_M_contig4.12138.1	nbisL1-mrna-11166	19.282706	14.952659	16.797452	8.173169	25.126263	36.734222
mRNA_S-promiscuus_M_contig4.12137.1	nbisL1-mrna-11167	17.521685	11.795789	17.617842	12.462574	19.961532	22.760488
